# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
0.002176+0.000000j -0.009481+0.000000j 0.002666+0.000000j
0.164691+0.000000j 0.411706+0.000000j 0.897539+0.000000j
0.349480+0.000000j 0.881994+0.000000j 1.836088+0.000000j
-0.153455+0.000000j 1.297915+0.000000j 2.593760+0.000000j
0.121188+0.000000j 1.673509+0.000000j 3.478915+0.000000j
-0.859659+0.000000j 1.735229+0.000000j 3.459068+0.000000j
-1.835797+0.000000j 1.712733+0.000000j 3.766939+0.000000j
-2.622412+0.000000j 1.785887+0.000000j 4.196566+0.000000j
-2.900826+0.000000j 2.055774+0.000000j 5.118329+0.000000j
-2.997942+0.000000j 2.435526+0.000000j 6.038305+0.000000j
-2.124227+0.000000j 2.256367+0.000000j 5.584368+0.000000j
-2.525053+0.000000j 2.627612+0.000000j 6.425230+0.000000j
-2.916366+0.000000j 2.831515+0.000000j 7.128152+0.000000j
-2.894611+0.000000j 3.219117+0.000000j 8.049722+0.000000j
-2.657034+0.000000j 3.602807+0.000000j 8.942100+0.000000j
-3.001297+0.000000j 3.852933+0.000000j 9.802806+0.000000j
-2.075155+0.000000j 3.909839+0.000000j 9.623630+0.000000j
-1.186387+0.000000j 3.709300+0.000000j 9.432651+0.000000j
-0.796515+0.000000j 4.072249+0.000000j 10.278977+0.000000j
-0.749944+0.000000j 4.517712+0.000000j 11.173065+0.000000j
-0.626540+0.000000j 4.910332+0.000000j 12.086329+0.000000j
-0.247106+0.000000j 5.286361+0.000000j 12.929790+0.000000j
0.107844+0.000000j 5.667804+0.000000j 13.736572+0.000000j
0.426830+0.000000j 6.043913+0.000000j 14.606509+0.000000j
0.718390+0.000000j 6.426691+0.000000j 15.483136+0.000000j
1.124787+0.000000j 6.779955+0.000000j 16.331972+0.000000j
1.532813+0.000000j 7.159863+0.000000j 17.155867+0.000000j
1.888529+0.000000j 7.494765+0.000000j 17.898746+0.000000j
2.262492+0.000000j 7.902281+0.000000j 18.731862+0.000000j
2.776302+0.000000j 8.220921+0.000000j 19.528396+0.000000j
3.352807+0.000000j 8.478652+0.000000j 20.398331+0.000000j
3.726403+0.000000j 8.903531+0.000000j 21.048947+0.000000j
