topic_name,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-24,2024-06-25,2024-06-27,2024-06-28,2024-06-29,2024-06-30
service_good service,0,10,14,18,0,0,15,13,16,14,14,14,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0
time_delivery,8,11,14,0,11,15,14,12,0,0,12,13,11,13,11,0,2,0,0,0,0,0,0,0,0,0,0,0
delivery_delay,3,5,6,6,6,6,5,5,6,6,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
customer_service,3,4,7,6,5,6,4,5,6,6,4,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
good_good service,0,6,10,0,0,4,0,0,7,7,6,6,7,5,0,0,0,2,2,2,4,2,4,0,0,0,0,0
service_excellent,0,0,8,0,0,6,11,2,2,10,8,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
good_service,0,5,4,4,5,3,9,0,6,0,4,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
service_good,2,0,0,7,5,0,9,6,5,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time_app,0,0,0,0,0,0,5,11,0,9,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_service,0,6,8,0,0,0,0,8,0,0,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
food_quality,2,2,2,2,1,2,0,1,3,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
order_cancellation,0,0,1,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,2,0,1,1
good_time,2,0,0,0,0,0,0,0,6,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app_performance,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
best_app,0,6,2,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app_best,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
restaurant_quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
service_time,0,1,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazing_app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,1,0,0,0,0
time_service,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service_best,0,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pricing_concerns,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
excelent_time,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_app,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
good_app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,1,1
app_excellent,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
best_amazing,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service_nice,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service_great,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good_excellent,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good_best,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service_awesom,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good_పర,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nice_good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
excellent_time,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_excelent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nice_app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
best_service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
time_awesom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
time_good,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excellent_good,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nice_delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
nice_best,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
